"","ID","AirportWindspeedavg","Airportwinddirect","Airportwinduvector","Airportwindvvector","AirportTempavg","AirportRHavg","AirportBaroavg","AirportSVPavg","AirportVPDavg","VulgarisWindspeedavg","Vulgariswinduvector","Vulgariswindvvector","VulgarisTempavg","VulgarisRHavg","VulgarisBaroavg","VulgarisSVPavg","VulgarisVPDavg","WaterfallWindspeedavg","Waterfallwinduvector","Waterfallwindvvector","WaterfallTempavg","WaterfallRHavg","WaterfallBaroavg","WaterfallSVPavg","WaterfallVPDavg"
"1",1,3.6041666665,87.5,-1.3037380825829,-1.70775448006722,15.5,23.75,1014.75,1763.01121682225,-415.930669627188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,3.77777777766667,83.3333333333333,-2.62458961764372,-1.75657462011642,15.3333333333333,24,1014.66666666667,1744.7087104828,-415.533789755139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3.77777777766667,83.3333333333333,-2.62458961764372,-1.75657462011642,15.3333333333333,24,1014.66666666667,1744.7087104828,-415.533789755139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,5.138888889,95,1.06438017209697,0.995996377254838,9.5,52,1015,1187.78903032972,-615.851452296367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5.138888889,95,1.06438017209697,0.995996377254838,9.5,52,1015,1187.78903032972,-615.851452296367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,8.574074074,253.333333333333,-0.600003976061616,-3.78117422332424,9.5,58,1017.83333333333,1188.557244062,-686.294409387647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7.972222222,267.5,-2.55135848063777,-0.979527166233876,8.75,57.75,1018,1130.18041089516,-650.271614714308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,7.972222222,267.5,-2.55135848063777,-0.979527166233876,8.75,57.75,1018,1130.18041089516,-650.271614714308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,7.972222222,267.5,-2.55135848063777,-0.979527166233876,8.75,57.75,1018,1130.18041089516,-650.271614714308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,7.972222222,267.5,-2.55135848063777,-0.979527166233876,8.75,57.75,1018,1130.18041089516,-650.271614714308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
