"","Site","Year","SiteYear","Date","Day","Totallarvliter","Totalpupaeliter","TotalBeetleliter","Totallnliter","Stdevtotalliter","Sterrortotalliter"
"1","Black",2011,"Black2011",2011-05-24,2017-05-24,3.51802364480215,0,0,3.51802364480215,0.551339023442947,0.142355123727253
"2","Black",2011,"Black2011",2011-05-30,2017-05-30,2.48513217590601,0,0,2.48513217590601,0.369995543160274,0.0955324384553806
"3","Black",2011,"Black2011",2011-06-01,2017-06-01,2.7008691978876,0,0,2.7008691978876,0.549872334756084,0.1419764263367
"4","Black",2011,"Black2011",2011-06-06,2017-06-06,1.85401061976671,0.569111226027551,0.111074019968867,1.94185464635498,0.953540733053236,0.24620315860304
"5","Black",2011,"Black2011",2011-06-08,2017-06-08,2.16707941169413,1.36820482579286,0.0809416783859969,2.47236079277402,0.696267445133186,0.179775481300481
"6","Black",2011,"Black2011",2011-06-13,2017-06-13,0,1.57175442875383,0.622922940392095,1.57175442875383,0.447780709285823,0.115616481987796
"7","Black",2011,"Black2011",2011-06-15,2017-06-15,0,0.765018974384499,0.282412723103476,0.765018974384499,0.464143507996103,0.119841338447947
"8","Black",2011,"Black2011",2011-06-17,2017-06-17,0,0.313283992762803,0.399790648580677,0.313283992762803,0.501528953816009,0.129494219051349
"9","Black",2012,"Black2012",2012-05-08,2017-05-08,2.98365978158802,0,0,2.98365978158802,0.922835822316738,0.23827518474109
"10","Black",2012,"Black2012",2012-05-11,2017-05-11,2.90508919918358,0,0,2.90508919918358,0.594004512813214,0.153371305713175
"11","Black",2012,"Black2012",2012-05-14,2017-05-14,3.2033176760417,0,0,3.2033176760417,0.409850431273809,0.105822926317293
"12","Black",2012,"Black2012",2012-05-16,2017-05-16,2.56226605785374,0,0,2.56226605785374,0.53065348309264,0.137014140174983
"13","Black",2012,"Black2012",2012-05-18,2017-05-18,2.12686974221877,0,0,2.12686974221877,0.417914300110982,0.107905008298117
"14","Black",2012,"Black2012",2012-05-21,2017-05-21,2.08588462127582,0.060264683165741,0.060264683165741,2.09372175603692,0.572505930084737,0.147820395521545
"15","Black",2012,"Black2012",2012-05-23,2017-05-23,1.26848140102979,0.716607561952603,0.141206361551738,1.55772185200981,0.558277700791678,0.144146682515009
"16","Black",2012,"Black2012",2012-05-28,2017-05-28,0.0903970247486114,1.14146862952392,0.385417558868756,1.16835913790849,0.666954089282901,0.172206805365174
